text,label
葛兆恩有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
高斯·奥特曼的出生地是哪里,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
尹林光子是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
周润发的老婆是谁,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
巩俐有哪些同学,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
翁瑞迪有哪些昵称,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
吴昕是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
钟欣潼的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
华晨宇是什么星座的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
商国庆得过哪些奖啊,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
黄宗泽的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
廖碧儿的国籍是哪,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
邱日勇的民族是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
涂黎曼是什么血型的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李炜是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
成龙的身高是多少,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张杰的好朋友有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
李诗雅的出生日期是什么时候,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
武艺现在属于哪家公司,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
范冰冰是哪里出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
叶子淳是哪年出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
于波的公司是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
林韦君是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
能给我介绍下黄瀞怡吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
柯有伦的代表作品有哪些,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
袁姗姗是AB型血吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张子枫有哪些作品,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王青的老家是哪的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
韩庚是做什么行业的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
姜潮现在属于哪家公司,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
鹿晗获过什么奖吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
王祖贤都和谁合作过,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
范玮琪是汉族人吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
马克·亨利·罗斯韦尔的职业是什么,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
蒋劲夫还有什么名字吗,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
张语格是什么时候出生的,SELECT Object FROM @Table WHERE Subject=@Ent AND Predicate=@Rel
